,Date,Startup Name,Industry,Sub-vertical,Location,Investors,Investment Type,Amount in USD,Website URL
929,2017-05-31,SastaSundar,Ecommerce,Online Pharmacy,Kolkata,rohto pharmaceutical,Private Equity,5000000.0,http://www.sastasundar.com/
931,2017-05-30,Loadshare,Logistics,Express Logistics Network,Bangalore,matrix partners,Seed Funding,2000000.0,http://www.loadshare.net/
932,2017-05-30,Swiggy,Consumer Internet,Online food delivery platform,Bangalore,"nasper, accel india, saif partners, bessemer venture partners, harmony partners, norwest venture partners",Private Equity,80000000.0,http://www.Swiggy.com
933,2017-05-30,Supr Daily,Consumer Internet,Subscription based delivery platform,Mumbai,"soma capital, great oaks ventures, 122 west ventures",Private Equity,1500000.0,http://www.suprdaily.com/
935,2017-05-29,Nivesh,Consumer Internet,Online MF investment platform,Noida,"pv sahad, sandeep shroff, rahul gupta",Seed Funding,2000000.0,http://Nivesh.com
937,2017-05-29,Collateral Medical,Ecommerce,Online Medical equipment supplier,Mumbai,carpediem capital,Private Equity,3500000.0,http://www.colmed.in/
938,2017-05-26,WhatsLoan,Consumer Internet,Online Lending mobile app,Bangalore,lahiri music’s family office,Seed Funding,2000000.0,http://whatsloan.com/
939,2017-05-25,Aye Finance,Fintech,Non-Banking Financial Company,Gurgaon,blue orchard,Private Equity,8000000.0,http://www.ayefin.com/
941,2017-05-23,TravelSpice,Ecommerce,Travel ECommerce portal,Hyderabad,eagle10 ventures,Seed Funding,2000000.0,https://www.travelspice.com/
942,2017-05-23,Box8,Consumer Internet,Food Delivery Platform,Mumbai,trifecta capital,Private Equity,1000000.0,http://Box8.in
943,2017-05-23,The Print,Consumer Internet,News Portal,New Delhi,"ratan tata, nandan nilekani, uday kotak, vijay shekhar sharma, kiran mazumdar-shaw, rajiv c mody",Seed Funding,2000000.0,
944,2017-05-23,Magicpin,Consumer Internet,Hyperlocal discovery platform,Gurgaon,"lightspeed venture partners, vy capital,",Private Equity,6600000.0,https://magicpin.in/
945,2017-05-22,ZipGrid,Consumer Internet,"Cashless, paperless solutions for Housing societies",Mumbai,"jll, 1crowd",Seed Funding,500000.0,https://zipgrid.com/communities/
946,2017-05-22,Delhivery,Logistics,ECommerce Logistics provider,New Delhi,fosun international,Private Equity,30000000.0,http://www.Delhivery.com
947,2017-05-20,YepMe,Ecommerce,Private Fashion Brand etailer,New Delhi,gokaldas exports ltd,Private Equity,2000000.0,http://www.YepMe.com
948,2017-05-19,EzCred,Consumer Internet,Consumer Lending Platform,Bangalore,"dheeraj pandey, rajesh yohannan, akash garg",Seed Funding,1000000.0,http://www.ezcred.in/
949,2017-05-19,HealthSutra,Food & Beverages,Health Food Maker,Hyderabad,"ankur capital, hyderabad angels",Seed Funding,2000000.0,http://healthsutra.in/
950,2017-05-18,Paytm,Ecommerce,Mobile Wallet & ECommerce platform,Bangalore,softbank group,Private Equity,1400000000.0,http://www.paytm.com
951,2017-05-18,PumpKart,Ecommerce,Online Water Pumps etailer,Chandigarh,dr. ritesh malik,Seed Funding,2000000.0,
952,2017-05-18,The Good Life,Ecommerce,Online Luxury Tea etailer,Mumbai,"ayesha takia azmi, abu farhan azmi",Seed Funding,1000000.0,https://www.tglteas.com/
954,2017-05-17,Paysense,Consumer Internet,Online Lending platform,Mumbai,jungle ventures,Private Equity,5300000.0,https://www.gopaysense.com/
955,2017-05-16,Telr,IT,Online Payment Gateway,Mumbai,innovations east,Private Equity,3000000.0,https://telr.com/
956,2017-05-16,Niki.ai,IT,AI-based chatbot,Bangalore,sap,Private Equity,2000000.0,https://niki.ai
957,2017-05-16,Fynd,Ecommerce,Fashion ECommerce Portal,Mumbai,rocketship,Private Equity,500000.0,https://www.gofynd.com/
958,2017-05-15,Zapty,IT,Project Management tool,Bangalore,ideaspring capital,Seed Funding,500000.0,https://zapty.com/
959,2017-05-15,Vernacular.ai,IT,Multi-lingual AI Platform for Businesses,Bangalore,kstart capital,Seed Funding,2000000.0,http://Vernacular.ai
960,2017-05-12,Remit Guru,Consumer Internet,Digital money transfer platform,Mumbai,"infibeam, ccavenue",Private Equity,466000.0,http://www.remitguru.com/
961,2017-05-12,Legal Raasta,Consumer Internet,Legal Services to SMEs & Individuals,New Delhi,impanix capital,Private Equity,5000000.0,https://www.legalraasta.com/
962,2017-05-12,Log 9 Materials,IT,NanoTech product developer,Bangalore,gems,Seed Funding,2000000.0,http://www.log9materials.com/
964,2017-05-11,ION Energy,IT,Clean Tech Startup,Mumbai,"aakrit vaish, swapan rajdev, sushill jiwarajka",Seed Funding,2000000.0,
965,2017-05-11,Book My Diamond,Ecommerce,Diamond B2B eTailer,Mumbai,chirag nikunj sheth & others,Seed Funding,2000000.0,https://bookmydiamond.com/
966,2017-05-11,Early Salary,Consumer Internet,Online lending platform,Pune,"dg ventures india, dewan housing finance corp",Private Equity,4000000.0,
967,2017-05-10,Fourth Ambit,Consumer Internet,Community Building platform,Bangalore,1crowd,Seed Funding,600000.0,https://www.fourthambit.com/
968,2017-05-10,Shopclues,Ecommerce,Online marketplace,Gurgaon,innoven capital,Private Equity,7700000.0,http://www.shopclues.com
969,2017-05-10,Vidooly,Consumer Internet,Video Intelligence platform,Noida,"times internet, gvfl",Private Equity,1400000.0,http://www.Vidooly.com
970,2017-05-10,Lucideus,IT,Cyber Security Startup,New Delhi,"vellayan subbiah, jonathan boutelle, rajan anandan,  rahul chawla, salil donde, amit ranjan, govind rajan & others",Seed Funding,2000000.0,http://www.lucideus.com/index.html
971,2017-05-10,Chymera VR,IT,Advertising Platform for Virtual Reality,Bangalore,"varsha rao, surojit chatterjee, nirav choksi & others",Seed Funding,2000000.0,http://www.chymeravr.com/
972,2017-05-09,Sequretek,IT,IT Security & Data Management Services,Mumbai,"gvfl, unicorn india ventures",Private Equity,2000000.0,https://www.sequretek.com/
973,2017-05-09,Anchanto,IT,Ecommerce Fulfilment and Technology Platform,Pune,luxasia group,Private Equity,2000000.0,http://www.anchanto.com/
974,2017-05-09,Curie Labs,IT,Energy Analytics startup,New Delhi,satoshi studios,Seed Funding,50000.0,http://www.curielabs.com/
975,2017-05-09,Uncanny Vision,IT,Computer Vision on Embedded Systems,Bangalore,anand chandrasekaran,Seed Funding,2000000.0,http://www.uncannyvision.com/
976,2017-05-08,CureFit,IT,Health-Tech Platform,Bangalore,"trifecta capital advisors llp, prathithi investment trust, rnt capital, gokul rajaram, aditya agarwal, ruchi sanghvi & others",Private Equity,3200000.0,http://www.curefit.com
977,2017-05-08,Ace Turtle,IT,Omni-Channel Platform,Bangalore,"vertex ventures, c31 ventures",Private Equity,5000000.0,http://www.aceturtle.com/
978,2017-05-08,MyGreens,Food & Beverages,Cold-press Juices manufacturer,New Delhi,"ajay relan, letsventure",Seed Funding,1000000.0,http://www.mygreens.com/
979,2017-05-08,Devourin,IT,Restaurant Automation Solution,Pune,deepak nathani,Seed Funding,2000000.0,http://devourin.com/
980,2017-05-08,Nightstay,Consumer Internet,Last minute hotel booking mobile app,New Delhi,"indian angels network, letsventure",Seed Funding,2000000.0,https://www.nightstay.in/
981,2017-05-08,YepMe,Ecommerce,Private Label Fashion etailer,Gurgaon,"rainbow digital services pvt. ltd, ilearnfinance academy pvt. ltd.",Private Equity,700000.0,http://Yepme.com
982,2017-05-05,HealthMir,Consumer Internet,AI-based health content platform,New Delhi,nimit panigrahi,Seed Funding,2000000.0,http://healthmir.com/
983,2017-05-05,Balance App,Consumer Internet,Money Savings & Management App,Bangalore,rainmatter,Seed Funding,233000.0,
984,2017-05-05,Uactive,Consumer Internet,Health-based social networking & discovery App,Mumbai,hinduja family,Seed Funding,2000000.0,http://www.uactiv.com/
985,2017-05-05,i-lend,Consumer Internet,Peer-to-peer lending platform,Hyderabad,50k ventures,Seed Funding,2000000.0,https://www.i-lend.in/
986,2017-05-05,Good Methods Global,IT,Cloud Based Practice Management Software,Trivandrum,accel partners,Private Equity,2000000.0,http://www.goodmethodsglobal.com/
987,2017-05-04,Healthians,Consumer Internet,Online Diagnostics and wellness platform,New Delhi,"asuka holdings, youwecan ventures, beenext, beenos, m&s partners",Private Equity,2000000.0,http://www.Healthians.com
989,2017-05-03,Ola,Consumer Internet,Cab Aggregation App,Bangalore,"falcon edge capital,  capital advisers",Private Equity,104500000.0,http://olacabs.com
991,2017-05-02,SMECorner,Consumer Internet,Online Platform for small business loans,Mumbai,dutch government fund,Private Equity,2000000.0,https://www.smecorner.com/
992,2017-05-02,4tigo,Logistics,Truck Network company,Bangalore,"accel partners, nandan nilekani,",Private Equity,10000000.0,https://www.4tigo.com/home
993,2017-05-02,Innovapptive,IT,Enterprise Mobility Solutions,Hyderabad,hyderabad angels,Seed Funding,1500000.0,http://www.innovapptive.com
994,2017-05-01,Power2SME,Ecommerce,Buying portal for SMEs,Gurgaon,international finance corporation,Private Equity,10000000.0,https://www.power2sme.com/
995,2017-05-01,Ace2three,Consumer Internet,Online Rummy playing Website,Hyderabad,clairvest group,Private Equity,73700000.0,https://www.ace2three.com/
996,2017-04-29,Qriyo,Consumer Internet,Tutor Discovery & Booking platform,Jaipur,nb ventures,Private Equity,2000000.0,https://www.qriyo.com/
997,2017-04-28,Sepalika,Consumer Internet,Healthcare related content platform,New Delhi,accel partners,Seed Funding,750000.0,https://www.sepalika.com/
998,2017-04-28,Mintwalk,Consumer Internet,Financial advisory mobile app,Mumbai,poshika financial ecosystem,Seed Funding,2000000.0,
999,2017-04-27,eShiksha,IT,Education Institution Management Solutions,Jaipur,cross border angels & experts,Seed Funding,2000000.0,http://www.eshiksa.com/
1000,2017-04-27,Autobix,IT,Software Solutions for Auto Dealership,Pune,gardx international,Seed Funding,2000000.0,http://www.autobix.in/
1001,2017-04-27,Scootsy,Consumer Internet,On-Demand Food Delivery,Mumbai,"agnus capital, khattar holdings",Private Equity,3600000.0,https://scootsy.com/
1002,2017-04-27,iNurture,Consumer Internet,Online Educational courses,Bangalore,blacksoil capital pvt. ltd,Private Equity,1500000.0,http://www.inurture.co.in/
1003,2017-04-26,ZipGo,Consumer Internet,Bus Pooling services platform,Bangalore,"orios ventures partners, team builder ventures, omidyar networks",Private Equity,2000000.0,https://zipgo.in/
1004,2017-04-26,StalkBuyLove,Ecommerce,Online fashion marketplace,New Delhi,trifecta capital,Private Equity,1000000.0,http://www.StalkBuyLove.com
1005,2017-04-26,Awfis,Consumer Internet,Collaborative co-Working Spaces,Mumbai,sequoia india,Private Equity,20000000.0,http://www.awfis.com/
1006,2017-04-26,Myra,Consumer Internet,Online Pharmacy,Bangalore,"times internet,matrix partners",Private Equity,2000000.0,https://myramed.in/
1007,2017-04-26,Howdy Ventures,Consumer Internet,Public and Private Events creation app,Chennai,s. xavier britto,Seed Funding,1500000.0,http://www.howdydo.me/
1008,2017-04-26,Flytxt,IT,Customer data analytics software,Mumbai,dah beteiligungs gmbh,Private Equity,11000000.0,http://www.flytxt.com
1009,2017-04-25,The Office Pass,Consumer Internet,CoWorking Spaces booking platform,Gurgaon,"arun tadanki, aditya verma",Seed Funding,245000.0,https://www.theofficepass.com/
1010,2017-04-25,UrbanClap,Consumer Internet,Mobile Services Marketplace,Gurgaon,trifecta capital,Private Equity,3100000.0,https://www.urbanclap.com/
1011,2017-04-24,Oyo Rooms,Consumer Internet,Branded Budget Hotels Aggregator,Gurgaon,"softbank vision fund, lightspeed venture partners, sequoia capital india advisors, greenoaks capital partners",Private Equity,250000000.0,http://www.oyorooms.com
1012,2017-04-24,Faasos,Food & Beverages,QSR chain and online food delivery,Pune,"ligthbox ventures ii, lightbox expansion fund, sequoia capital india, runet south asia, rb investments",Private Equity,6300000.0,http://www.Faasos.in
1013,2017-04-24,Toppr,Consumer Internet,Learning mobile app for students,Mumbai,wgg international,Private Equity,3200000.0,https://www.toppr.com/
1014,2017-04-24,Niramai,HealthTech,Breast Cancer Screening Solutions,Bangalore,"pi ventures, axilor ventures, 500 startups, binny bansal",Seed Funding,2000000.0,http://www.niramai.com/
1015,2017-04-21,Video Ken,Consumer Internet,Video Based Collaborative Learning,Bangalore,"ravi garikipati, surot chatterjee, ashish agrawal, lg chandrasekhar, sashi reddi",Seed Funding,1000000.0,https://videoken.com/
1016,2017-04-20,Wooplr,Ecommerce,Social Commerce  Fashion platform,Bangalore,ankit nagori,Private Equity,2000000.0,https://www.wooplr.com/
1017,2017-04-20,HolaChef,Consumer Internet,Online Food Delivery,Mumbai,"sidbi venture capital ltd, kalaari capital",Private Equity,3000000.0,
1019,2017-04-18,Whodat,IT,Markerless AR platform,Bangalore,ideaspring capital,Private Equity,600000.0,http://www.whodat.in/
1020,2017-04-18,Absentia VR,IT,Virtual Reality Startup,Bangalore,exfinity venture partners,Private Equity,1250000.0,http://www.absentiavr.com/
1021,2017-04-18,Innefu Security Consulting,IT,Cyber Security solutions using AI,New Delhi,indianivesh venture capital fund,Private Equity,2000000.0,http://www.innefu.com/
1022,2017-04-17,Snackible,Food & Beverages,Healthy Snacks manufacturer,Mumbai,"nibhrant shah, anandbir singh, anirudh sheth, pratik singhi, vikram mehta, murali nair",Seed Funding,175000.0,http://www.snackible.com/
1023,2017-04-17,Navia Life Care,IT,Health Technology platform,New Delhi,benori ventures llp,Seed Funding,2000000.0,http://www.navialifecare.com/
1024,2017-04-17,Raw Pressery,Food & Beverages,Raw Pressed Juices manufacturer,Mumbai,jacqueline fernandez,Seed Funding,2000000.0,https://www.rawpressery.com/
1025,2017-04-17,Be U Salons,Consumer Internet,Online Salon discovery & Booking Services,New Delhi,"gaurav kachru, sundeep singh sahni, jatin aneja, arun malhotra",Seed Funding,620000.0,http://www.beusalons.com/
1026,2017-04-17,LendingKart,Consumer Internet,Lending platform for small businesses,Ahmedabad,anicut capital,Private Equity,4650000.0,https://www.lendingkart.com/
1027,2017-04-17,CrediHealth,Consumer Internet,Online Medical Assistance platform,Gurgaon,"tolaram inc, mountain pine capital",Private Equity,1500000.0,https://www.credihealth.com/
1028,2017-04-17,Simulanis,Consumer Internet,eLearning & Skills Development plat,New Delhi,village capital,Seed Funding,2000000.0,http://www.simulanis.com/
1029,2017-04-15,Myly,Consumer Internet,Mobile App for Schools,Jaipur,mall industries development bank of india (sidbi),Seed Funding,310000.0,https://www.mylyapp.com/
1030,2017-04-14,Ola Cabs,Consumer Internet,Cab Aggregator App,Bangalore,simi pacific pte,Private Equity,260000000.0,https://www.olacabs.com/
1031,2017-04-13,SafetyKart,Ecommerce,Safety & Hygiene Products etailer,Gurgaon,redcliffe capital,Private Equity,2000000.0,https://www.safetykart.com/
1032,2017-04-13,WeAreHolidays,Consumer Internet,Travel Packages & Planner marketplace,Gurgaon,"urrshila kerkar,",Private Equity,7700000.0,http://www.weareholidays.com/
1033,2017-04-12,HackerEarth,Consumer Internet,Online Skill Assessment Platform,Bangalore,"dhi group inc, prime venture partners, beenext, beenos, digital garage, bizreach",Private Equity,4500000.0,https://www.hackerearth.com/
1034,2017-04-12,Squadrun,IT,Software-As-a-Service Platform,Noida,"blume ventures, contrarian capital, 91springboard, emergent ventures, abstract ventures, anthill ventures, axilor ventures",Private Equity,2100000.0,https://squadrun.co/
1035,2017-04-12,Clovia,Ecommerce,Online lingerie & Sleepwear etailer,New Delhi,"ivycap ventures advisors, singularity ventures and ravi dhariwal",Private Equity,4000000.0,https://www.clovia.com/
1036,2017-04-12,Emiza,Logistics,Third Party Logistics provider,Mumbai,"mayfield, nishant rao, dileep nath",Private Equity,4500000.0,http://emizainc.com/
1037,2017-04-12,ScoutMyTrip,Consumer Internet,Online Travel planner,Mumbai,z nation lab,Seed Funding,2000000.0,https://scoutmytrip.com/
1038,2017-04-12,Tinmen,Consumer Internet,Food Delivery Platform,Hyderabad,"mape advisory group, r ramaraj, corvus ventures",Seed Funding,2000000.0,http://www.tinmen.in/
1039,2017-04-11,MergerWare,IT,Software solutions for M&As,Bangalore,philippe bouchet,Seed Funding,100000.0,https://mergerware.com/
1040,2017-04-11,Sports Flashes,Consumer Internet,Online Sports portal & Mobile app,New Delhi,"sushil kumar, sandeep singh",Seed Funding,2000000.0,https://sportsflashes.com/en
1041,2017-04-11,Ninjacart,Ecommerce,B2B agri-marketing platform,Bangalore,"accel partners, nandan nilekani’s nrjn trust, mistletoe, qualcomm ventures, m&s partners",Private Equity,5500000.0,http://ninjacart.in/
1042,2017-04-10,Capital Float,Consumer Internet,Online Lending Platform for SME,Bangalore,mahindra and mahindra financial services,Private Equity,2300000.0,https://www.capitalfloat.com/
1043,2017-04-10,Omnify,IT,SaaS platform for SMEs,Bangalore,"rajan anandan, l.d sharma, saurabh arora",Seed Funding,150000.0,https://www.getomnify.com/
1044,2017-04-08,FastFox,Consumer Internet,Online rental discovery platform,Gurgaon,"lightspeed india partners, blume ventures, cyberagent ventures, growx ventures, imj investment partners",Private Equity,4600000.0,https://fastfox.com/
1045,2017-04-08,WonderChef,Ecommerce,Online marketplace for kitchen products,Mumbai,labruyere eberlé,Private Equity,2000000.0,http://www.wonderchef.in/
1046,2017-04-07,PharmEasy,Ecommerce,Online Pharmacy,Mumbai,"bessemer venture partners, orios venture partners, trifecta capital,",Private Equity,18000000.0,http://www.pharmeasy.in/
1047,2017-04-07,Twenty Two Motors,IT,Smart Scooter manufacturer,Gurgaon,"ishwar singh,farhaan shabbir",Seed Funding,2000000.0,
1048,2017-04-07,QorQI,HealthTech,Online Healthcare provider,Noida,paytm,Seed Funding,2000000.0,http://www.qorql.com/
1049,2017-04-07,Startup Buddy,Consumer Internet,Startup Support Platform,Gurgaon,"youwecan ventures,",Seed Funding,2000000.0,http://startupbuddy.co.in/
1050,2017-04-06,Mech Mocha,Consumer Internet,Mobile gaming startup,Bangalore,"accel partners, shunwei capital",Private Equity,5000000.0,http://mechmocha.com/
1051,2017-04-06,Medwell Ventures,HealthTech,Home-Based Healthcare provider,Bangalore,"mahindra partners, eight roads ventures, f-prime capital partners",Private Equity,21000000.0,http://medwellventures.com/
1052,2017-04-05,Fingerlix,Consumer Internet,Food Delivery Platform,Mumbai,zephyr peacock india,Private Equity,3000000.0,https://www.fingerlix.com/
1053,2017-04-05,Credit Sudhaar,Consumer Internet,Credit Score Improvement platform,Mumbai,"deepak kulkarni, sandeep pangal",Seed Funding,2000000.0,https://www.creditsudhaar.com/
1054,2017-04-05,DataWeave,IT,Business Intelligence Solutions,Bangalore,"freakout group, blume ventures, herb madan, waterbridge ventures",Private Equity,2000000.0,https://dataweave.com/
1055,2017-04-04,Perfios,IT,Fin-Tech Solutions,Bangalore,bessemer venture partners,Private Equity,6100000.0,https://www.perfios.com/
1056,2017-04-04,Konsult App,Consumer Internet,App based Doctor Consulting platform,New Delhi,"koen bouwers, lomesh agarwal, jeroen mensen, pablo van den bosch & others",Seed Funding,500000.0,http://www.konsultapp.com/
1057,2017-04-04,Trukky,Consumer Internet,Online Truck Aggregator & Booking platform,Ahmedabad,"keyur joshi, pavan bakeri",Seed Funding,500000.0,https://www.trukky.com/
1058,2017-04-04,ElastiRun,IT,App based Logistics & Distribution platform,Pune,"kalaari capital, norwest venture partners",Private Equity,7000000.0,http://www.elastic.run/
1059,2017-04-04,Whatfix,IT,Interactive Tech-Support Guides,Bangalore,"stellaris venture partners, helion venture partners, powerhouse ventures, gokul rajaram, girish mathrubootham, aneesh reddy, vispi daver",Private Equity,3690000.0,https://whatfix.com/
1060,2017-04-04,WayCool,Food & Beverages,Fresh-Produce Distribution Platform,Chennai,aspada investments,Private Equity,2700000.0,http://waycool.in/
1061,2017-04-03,Healthcare at Home,HealthTech,Home Healthcare Provider,Noida,quadria capital advisors,Private Equity,40000000.0,http://healthcareathomeindia.com/
1062,2017-04-03,Tyre Express,IT,Enterprise IoT solutions For Tyre Performance,Mumbai,rohitash gupta,Seed Funding,2000000.0,
1063,2017-04-03,Eruditus,Edtech,Executive Education Provider,Mumbai,bertelsmann india,Private Equity,8200000.0,
1064,2017-04-03,SmartCoin,Consumer Internet,Micro Lending platform,Bangalore,unicorn india ventures & others,Private Equity,2000000.0,http://smartcoin.cc/
1065,2017-04-03,TestBook,Consumer Internet,Online Test Preparation Platform,Mumbai,matrix partners india,Private Equity,2000000.0,http://www.Testbook.com
1066,2017-04-01,Cashe,Consumer Internet,Online & Mobile based Lending platform,Mumbai,"mathew cyriac, florintree advisors,",Private Equity,3800000.0,https://www.cashe.co.in/
1067,2017-03-31,Icertis,IT,ERP solutions provider,Pune,"b capital group, ignition partners, greycroft, e.ventures,  eight roads ventures",Private Equity,25000000.0,http://www.icertis.com
1068,2017-03-31,FalconBrick,IT,Real-Estate Workflow mobile app,Bangalore,"satveer thakral, letsventure, mumbai angels",Seed Funding,2000000.0,http://www.falconbrick.com/
1069,2017-03-31,Rooter,Consumer Internet,Sports engagement platform,New Delhi,intex technologies,Private Equity,2000000.0,http://www.rooter.io
1070,2017-03-31,BigBasket,Ecommerce,Online Grocer,Bangalore,trifecta capital,Private Equity,7000000.0,http://www.BigBasket.com
1071,2017-03-31,Oriano Solar,IT,Turnkey Solar Solutions,Mumbai,samridhi fund,Private Equity,3000000.0,http://www.orianosolar.com/
1072,2017-03-31,Jhakaas,Consumer Internet,Offline Business Aggregator App,Mumbai,"malini patel, stelcore management services, anjani prasad",Seed Funding,155000.0,https://play.google.com/store/apps/details?id=com.stelcore.jhakaas&hl=en
1073,2017-03-30,Emflux Motors,IT,Electric Motorcycle manufacturer,Bangalore,"meher roy, nikhil arora, meet kanodia, krit sankalp, nitish singh, risabh gupta",Seed Funding,2000000.0,http://www.emfluxmotors.com/
1074,2017-03-30,Klinic App,Consumer Internet,Pathology & Diagnostic Tests Portal,Gurgaon,om chaudhry,Seed Funding,2000000.0,http://www.klinicapp.com/
1075,2017-03-30,Indus OS,IT,Mobile OS creator,Mumbai,"jsw ventures, ventureast",Private Equity,2000000.0,http://www.indusos.com/
1076,2017-03-29,Medinfi,Consumer Internet,Doctor & Hospital search Platform,Bangalore,"vinod martin, hemant kaul, prof. ram kumar kakani & others",Seed Funding,50000.0,http://www.medinfi.com/
1077,2017-03-29,Ithaka,Consumer Internet,Vacation Trip Planning platform,Mumbai,"ankit gupta, puneet motihar",Seed Funding,325000.0,https://www.ithaka.travel/
1079,2017-03-29,Licious,Ecommerce,Online Meat Ordering platform,Bangalore,"mayfield india, 3one4 capital, sistema asia fund, neoplux technology fund",Private Equity,10000000.0,https://www.licious.in/
1080,2017-03-29,perpule,Ecommerce,Self-Checkout ECommerce App,Bangalore,kstart capital,Seed Funding,650000.0,http://perpule.com/
1081,2017-03-29,Byju’s,Consumer Internet,Online Education Platform,Bangalore,verlinvest,Private Equity,2000000.0,https://byjus.com/
1082,2017-03-28,DoneThing,Consumer Internet,On-demand Personal Assistant service,Gurgaon,brand capital,Private Equity,300000.0,http://www.donething.com/
1083,2017-03-28,Wigzo,IT,Enterprise Automation suite,New Delhi,3one4 capital,Private Equity,2000000.0,https://www.wigzo.com/
1084,2017-03-28,Fynd,Ecommerce,Online fashion marketplace,Mumbai,venture catalysts,Private Equity,500000.0,https://www.gofynd.com/
1085,2017-03-27,Sport Flashes,Consumer Internet,Sports Based Online Media portal,New Delhi,"vikas bajaj, amit kharbanda,",Seed Funding,2000000.0,https://sportsflashes.com/en
1086,2017-03-24,Delhivery,IT,Tech enabled Fulfilment & Logistics Solutions,New Delhi,"carlyle group, tiger global",Private Equity,100000000.0,http://www.delhivery.com/
1087,2017-03-24,BabyonBoard,Consumer Internet,Parenting Mobile App,Bangalore,"mahavir sharma, vishal jain, rohit sethi, gaurav luniya",Seed Funding,2000000.0,http://www.babyonboard.in/
1088,2017-03-24,Bizom,IT,supply chain automation platform,Bangalore,ojas ventures,Seed Funding,382000.0,http://bizom.in/
1089,2017-03-23,Markets and Markets,IT,Marketing Research Company,Pune,"ftv capital, zodius capital",Private Equity,56000000.0,http://www.marketsandmarkets.com/
1090,2017-03-23,Ixigo,Consumer Internet,Online Travel Search Engine,Gurgaon,"sequoia capital, kinzon capital",Private Equity,15000000.0,http://www.Ixigo.com
1091,2017-03-22,The Mons Co.,Ecommerce,Pregnancy & Baby Care etailer,New Delhi,"shripad nadkarni, nandu nandkishore",Seed Funding,2000000.0,
1092,2017-03-22,Haqdarshak,Consumer Internet,Tech-Enabled Social Enterprise,Bangalore,"ravi saxena, sandeep raju,",Seed Funding,191000.0,http://www.haqdarshak.com/
1093,2017-03-21,Flipkart,Ecommerce,ECommerce Marketplace,Bangalore,"microsoft, ebay, tencent holdings",Private Equity,1400000000.0,http://www.Flipkart.com
1094,2017-03-21,Airpay,IT,Online payment Gateway,Mumbai,"kalaari capital, rakesh and rajesh jhunjhunwala",Private Equity,3670000.0,https://www.airpay.co.in/
1095,2017-03-21,MyGlamm,Consumer Internet,On-Demand Beauty Services,Mumbai,l’occitane,Private Equity,5300000.0,http://www.myglamm.com
1096,2017-03-17,FarMart,IT,Farming rental equipment provider,Gurgaon,indian angel network,Seed Funding,2000000.0,
1097,2017-03-16,ShilpMIS,IT,Virtual Reality platform,Surat,"puneet gupta, nimitt desai & others",Seed Funding,2000000.0,http://www.shilpmis.com/
1098,2017-03-16,POPxo,Consumer Internet,Digital Media publication for women,New Delhi,"gree ventures, kalaari capital and idg ventures india, summit media, atul goel, and gurpreet singh",Private Equity,3100000.0,http://POPxo.com
1099,2017-03-16,mPaani,Consumer Internet,Loyalty rewards app,Mumbai,"idg ventures, blume ventures, saha fund,",Private Equity,1350000.0,http://www.mpaani.com/
1100,2017-03-16,Fitso,Consumer Internet,Fitness Mobile App,Gurgaon,"sujeet kumar, bhupender singh, yashish dhaiya",Seed Funding,200000.0,https://www.getfitso.com/
1101,2017-03-15,LatestOne,Ecommerce,Tech Accessories e-tailer,Hyderabad,"florintree, mathew cyriac, chidambaram palaniappan, bharat sheth",Private Equity,3350000.0,http://www.latestone.com
1103,2017-03-14,MyDermacy,Consumer Internet,Online Dermatology consultation platform,New Delhi,cyber carrier,Private Equity,2000000.0,
1104,2017-03-10,PeeBuddy,HealthTech,Female Hygiene product manufacturer,New Delhi,indian angel network,Seed Funding,443000.0,http://www.peebuddy.in/
1105,2017-03-10,Lavelle Networks,IT,SDN Solutions,Bangalore,ideaspring capital,Seed Funding,600000.0,http://lavellenetworks.com/
1106,2017-03-10,iOrderFresh,Ecommerce,Online fresh fruits and grocery store,New Delhi,singapore angel network,Seed Funding,2000000.0,http://www.iorderfresh.com/
1107,2017-03-10,PropertyShare,Consumer Internet,Fractional Proerty Ownership & Rental platform,Bangalore,"asuka, pravega ventures, beenext",Seed Funding,2000000.0,http://www.propertyshare.in/
1108,2017-03-09,MagicBricks,Consumer Internet,Online Real Estate Portal,Mumbai,times internet ltd,Private Equity,4500000.0,http://www.magicbricks.com
1109,2017-03-09,AppBrowzer,Consumer Internet,Instant Mobile Apps Store,Bangalore,deepak gurnani,Seed Funding,500000.0,http://www.appbrowzer.com/
1110,2017-03-08,Supr Daily,Consumer Internet,Subscription based Home Delivery Platform,Mumbai,y combinator,Seed Funding,120000.0,http://www.suprdaily.com/
1111,2017-03-08,PipeCandy,IT,Intelligent Sales Prospecting Platform,Chennai,"idg ventures, axilor ventures, emergent ventures, indian angel network",Seed Funding,1100000.0,https://pipecandy.com/
1112,2017-03-08,Rivigo,Logistics,Technology Enabled Logistics Company,Gurgaon,private sector banks (debt funding),Private Equity,15000000.0,https://rivigo.com/
1113,2017-03-08,Parentune,Consumer Internet,Online Community for Parents,Gurgaon,"kae capital, segnel ventures",Private Equity,2000000.0,http://www.parentune.com/
1114,2017-03-07,Blowhorn,Consumer Internet,Intra-City Logistics provider,Bangalore,"idg ventures india, michael & susan dell foundation, draper associates, unitus seed fund",Private Equity,3650000.0,http://www.blowhorn.net/
1115,2017-03-07,Book Servicing,Consumer Internet,Online Vehicle Services Booking platform,New Delhi,national science and technology entrepreneurship development board,Seed Funding,30000.0,
